CMDLINE /opt/apps/intel13/python/2.7.9/bin/python worldline/job_scripts/run_select_ids.py
MEM 3.035156 1500956868.0930
MEM 3.058594 1500956868.0931
MEM 3.089844 1500956868.0932
MEM 3.093750 1500956868.0933
MEM 3.109375 1500956868.0934
MEM 3.113281 1500956868.0935
MEM 3.113281 1500956868.0936
MEM 3.183594 1500956868.0937
MEM 3.417969 1500956868.0938
MEM 3.503906 1500956868.0939
MEM 3.515625 1500956868.0940
MEM 3.660156 1500956868.0941
MEM 3.824219 1500956868.0942
MEM 4.042969 1500956868.0943
MEM 4.261719 1500956868.0944
MEM 4.476562 1500956868.0945
MEM 4.710938 1500956868.0946
MEM 4.925781 1500956868.0947
MEM 5.148438 1500956868.0947
MEM 5.343750 1500956868.0948
MEM 5.363281 1500956868.0949
MEM 5.589844 1500956868.0950
MEM 5.765625 1500956868.0951
MEM 5.898438 1500956868.0952
MEM 5.945312 1500956868.0953
MEM 6.082031 1500956868.0954
MEM 6.226562 1500956868.0955
MEM 6.390625 1500956868.0956
MEM 6.441406 1500956868.0957
MEM 6.500000 1500956868.0958
MEM 6.562500 1500956868.0959
MEM 6.601562 1500956868.0959
MEM 6.660156 1500956868.0960
MEM 6.707031 1500956868.0961
MEM 6.765625 1500956868.0962
MEM 6.863281 1500956868.0963
MEM 6.980469 1500956868.0964
MEM 7.042969 1500956868.0965
MEM 7.093750 1500956868.0966
MEM 7.121094 1500956868.0967
MEM 7.226562 1500956868.0968
MEM 7.277344 1500956868.0969
MEM 7.320312 1500956868.0970
MEM 7.343750 1500956868.0970
MEM 7.343750 1500956868.0971
MEM 7.343750 1500956868.0972
MEM 7.343750 1500956868.0973
MEM 7.343750 1500956868.0974
MEM 7.343750 1500956868.0975
MEM 7.343750 1500956868.0976
MEM 7.343750 1500956868.0977
MEM 7.343750 1500956868.0981
MEM 7.343750 1500956868.0982
MEM 7.343750 1500956868.0983
MEM 7.382812 1500956868.0984
MEM 7.414062 1500956868.0985
MEM 7.468750 1500956868.0986
MEM 7.523438 1500956868.0987
MEM 7.558594 1500956868.0987
MEM 7.601562 1500956868.0988
MEM 7.640625 1500956868.0989
MEM 7.687500 1500956868.0990
MEM 7.722656 1500956868.0991
MEM 7.769531 1500956868.0992
MEM 7.812500 1500956868.0993
MEM 7.851562 1500956868.0994
MEM 7.894531 1500956868.0995
MEM 7.937500 1500956868.0996
MEM 7.976562 1500956868.0997
MEM 8.023438 1500956868.0998
MEM 8.062500 1500956868.0999
MEM 8.101562 1500956868.0999
MEM 8.148438 1500956868.1000
MEM 8.222656 1500956868.1001
MEM 8.253906 1500956868.1002
MEM 8.277344 1500956868.1003
MEM 8.316406 1500956868.1004
MEM 8.332031 1500956868.1005
MEM 8.332031 1500956868.1006
MEM 8.109375 1500956868.1007
MEM 8.121094 1500956868.1008
MEM 8.125000 1500956868.1009
MEM 8.148438 1500956868.1010
MEM 8.218750 1500956868.1010
MEM 8.234375 1500956868.1011
MEM 8.238281 1500956868.1012
MEM 8.242188 1500956868.1013
MEM 8.242188 1500956868.1014
MEM 8.242188 1500956868.1015
MEM 8.242188 1500956868.1016
MEM 8.265625 1500956868.1017
MEM 8.265625 1500956868.1018
MEM 8.265625 1500956868.1019
MEM 8.265625 1500956868.1020
MEM 8.265625 1500956868.1021
MEM 8.265625 1500956868.1022
MEM 8.265625 1500956868.1022
MEM 8.265625 1500956868.1023
